iter	RMSE
0	5729001.364
1	5486664.238
2	5256178.389
3	5038490.363
4	4831697.469
5	4635764.068
6	4447486.982
7	4275221.765
8	4103362.402
9	3944108.301
10	3794454.974
11	3665252.594
12	3531724.009
13	3402237.303
14	3292319.633
15	3175300.976
16	3064181.296
17	2955238.12
18	2846447.148
19	2740351.472
20	2642443.099
21	2554377.982
22	2465473.816
23	2379986.091
24	2309801.756
25	2225443.849
26	2155275.773
27	2090161.951
28	2020750.73
29	1959921.397
30	1897076.227
31	1839217.574
32	1792135.156
33	1748646.554
34	1690374.823
35	1636338.272
36	1579059.72
37	1534116.564
38	1493041.177
39	1453532.759
40	1408721.039
41	1363911.657
42	1328719.655
43	1299725.125
44	1264882.059
45	1227405.31
46	1192577.204
47	1157010.943
48	1123374.801
49	1092867.705
50	1059355.355
51	1034994.759
52	1004539.836
53	976956.0754
54	954678.1923
55	932787.7313
56	910734.1729
57	887773.1279
58	866894.1611
59	849015.2423
60	829742.9071
61	812708.6354
62	793719.4739
63	778630.8341
64	763978.3121
65	747901.077
66	733891.0839
67	720198.5739
68	708650.4454
69	695234.3257
70	683216.1669
71	668621.7026
72	654004.7395
73	642831.4834
74	633106.2347
75	620640.9668
76	610713.7359
77	599113.8436
78	588075.5796
79	578988.9609
80	570727.8453
81	560941.5496
82	553550.6937
83	543900.4623
84	534864.9587
85	526697.6779
86	520066.5862
87	513748.9663
88	505415.6011
89	498274.1733
90	491701.8163
91	484572.9387
92	477370.6558
93	471813.6935
94	464033.7143
95	457707.7923
96	452197.1605
97	447046.1329
98	441415.8234
99	435308.4064
100	430449.679
101	425023.6698
102	420706.0077
103	416580.7333
104	411885.1948
105	406500.5763
106	401916.529
107	398274.9771
108	394888.8071
109	390893.9476
110	385788.2724
111	380579.0291
112	377180.1114
113	371449.1689
114	368435.8828
115	364404.9665
116	361247.2854
117	357132.4098
118	353748.088
119	350819.3241
120	348009.3793
121	345624.9682
122	342449.1883
123	340034.1911
124	337465.146
125	334936.2232
126	331642.3692
127	329671.7884
128	326690.7099
129	324914.0227
130	321953.4338
131	320137.6777
132	318148.8219
133	316279.7476
134	313272.605
135	310371.0859
136	306544.8351
137	304742.507
138	302593.5631
139	300956.0228
140	298877.0147
141	296687.9031
142	294333.2267
143	292645.4391
144	291099.9736
145	289845.2348
146	287582.3339
147	284643.8017
148	282754.3417
149	280864.853
150	279436.4233
151	277553.7606
152	276359.3283
153	275218.6472
154	273386.9759
155	272295.118
156	270521.7457
157	269255.4143
158	267844.5355
159	266936.2757
160	265107.9109
161	262893.5411
162	261634.5592
163	260487.7207
164	258537.8779
165	256705.478
166	255744.227
167	254865.3903
168	254036.1399
169	252963.0766
170	251939.7393
171	251176.8835
172	249991.958
173	249150.8223
174	248178.985
175	247128.5624
176	245914.4022
177	245213.5516
178	243950.3262
179	243185.2897
180	242599.3844
181	242007.2846
182	241252.1106
183	240202.7758
184	239392.538
185	238446.4178
186	237742.8153
187	236349.3
188	235662.3823
189	235081.9963
190	234542.4265
191	233528.2784
192	232786.3135
193	232166.0984
194	231525.0705
195	231047.4701
196	229615.089
197	229177.1338
198	228678.4581
199	227875.1934
