iter	Passed	Remaining
0	146	29054
1	175	17345
2	196	12894
3	210	10338
4	223	8697
5	233	7547
6	243	6714
7	253	6083
8	265	5633
9	275	5227
10	284	4895
11	296	4645
12	305	4401
13	315	4198
14	326	4028
15	337	3880
16	347	3739
17	357	3618
18	368	3507
19	379	3411
20	389	3320
21	400	3237
22	413	3181
23	424	3109
24	435	3049
25	446	2990
26	457	2931
27	469	2882
28	483	2853
29	500	2836
30	511	2788
31	523	2746
32	537	2719
33	549	2682
34	563	2658
35	575	2623
36	586	2585
37	597	2546
38	608	2510
39	618	2474
40	630	2444
41	640	2409
42	650	2375
43	661	2345
44	671	2312
45	681	2281
46	692	2254
47	703	2226
48	713	2197
49	723	2169
50	733	2144
51	743	2117
52	754	2092
53	764	2066
54	773	2039
55	783	2013
56	793	1989
57	803	1966
58	812	1942
59	822	1919
60	833	1898
61	842	1875
62	853	1855
63	863	1834
64	873	1813
65	883	1793
66	892	1772
67	905	1757
68	917	1741
69	928	1723
70	940	1708
71	951	1691
72	963	1675
73	974	1660
74	987	1645
75	998	1629
76	1010	1614
77	1021	1598
78	1032	1581
79	1044	1566
80	1058	1554
81	1073	1544
82	1087	1532
83	1098	1516
84	1108	1500
85	1120	1485
86	1131	1470
87	1142	1454
88	1153	1438
89	1164	1422
90	1175	1407
91	1192	1400
92	1203	1384
93	1216	1371
94	1228	1358
95	1239	1343
96	1250	1327
97	1261	1312
98	1274	1300
99	1288	1288
100	1302	1276
101	1315	1264
102	1328	1250
103	1337	1234
104	1347	1219
105	1358	1204
106	1369	1189
107	1380	1175
108	1390	1160
109	1400	1145
110	1412	1132
111	1426	1120
112	1437	1106
113	1448	1092
114	1459	1078
115	1470	1064
116	1486	1054
117	1498	1041
118	1517	1032
119	1531	1021
120	1544	1008
121	1556	995
122	1570	982
123	1584	970
124	1594	956
125	1605	942
126	1616	928
127	1627	915
128	1638	901
129	1650	888
130	1661	875
131	1671	861
132	1683	847
133	1696	835
134	1706	821
135	1717	808
136	1727	794
137	1737	780
138	1747	766
139	1757	753
140	1767	739
141	1777	726
142	1787	712
143	1798	699
144	1807	685
145	1817	672
146	1826	658
147	1836	645
148	1847	632
149	1857	619
150	1868	606
151	1878	593
152	1889	580
153	1899	567
154	1908	554
155	1921	542
156	1932	529
157	1946	517
158	1956	504
159	1967	491
160	1978	479
161	1989	466
162	1999	453
163	2009	441
164	2019	428
165	2030	415
166	2041	403
167	2052	390
168	2062	378
169	2072	365
170	2085	353
171	2098	341
172	2108	329
173	2119	316
174	2129	304
175	2140	291
176	2150	279
177	2162	267
178	2172	254
179	2183	242
180	2193	230
181	2204	218
182	2217	205
183	2232	194
184	2282	185
185	2301	173
186	2346	163
187	2370	151
188	2397	139
189	2424	127
190	2452	115
191	2477	103
192	2496	90
193	2515	77
194	2535	65
195	2548	52
196	2566	39
197	2586	26
198	2630	13
199	2679	0
